MatchId,Year,TournamentRound,PieRound,Pie,Votes,Opponent,OpponentVotes,Result
K2bb872PVndkx,2,2,2,Pumpkin Cream Cheese ,2,Reese's,2,TieLoss
NYGeOEP_Iw35,1,1,1,Cherry (Crumb or Crust),2,Caramel Apple,1,Win
vBAQqEg2_fhM,1,2,2,Cherry (Crumb or Crust),2,Coffee Cake Muffin ,1,Win
bfP_wPPZFwvXC,1,3,3,Cherry (Crumb or Crust),2,Cinnamon Roll Apple,1,Win
oBSnSaCaPYkAy,1,4,4,Cherry (Crumb or Crust),0,Butterscotch Pecan Blondie,3,Loss
,2,1,0,Cherry (Crumb or Crust),0,,,Bye
shFEmuZpUiEP_,2,2,1,Cherry (Crumb or Crust),3,Oreo,1,Win
rC44SWWvaigP01,2,3,2,Cherry (Crumb or Crust),1,Black Bottom Mocha,3,Loss
9BWgN-G6ZPYC,1,1,1,Cranberry Muffin ,2,Cranberry Apple ,1,Win
5ua3R7PjGgm0,1,2,2,Cranberry Muffin ,1,Pumpkin,2,Loss
oBDLHYOGS8LB3,2,1,1,Cranberry Muffin ,3,Southern Oatmeal Rum Raisin ,1,Win
Ihpa7W4zeFsTJ,2,2,2,Cranberry Muffin ,2,Banana Caramel Cream,2,TieLoss
022FQ1oRR6ZZ,1,1,1,Lemon Chess,2,Macaroon,1,Win
XshAaS0AklwS,1,2,2,Lemon Chess,1,Razzelberry,2,Loss
z-LJEsglOWK8c,2,1,1,Lemon Chess,3,Strawberry Lemonade ,1,Win
A2xd-eq-mQRPX,2,2,2,Lemon Chess,2,Astronaut,2,TieWin
DNB7m7XNNooNcm,2,3,3,Lemon Chess,1,Bourbon Chocolate Pecan,3,Loss
,1,1,0,Dark Chocolate Cream,0,,,Bye
uAFjXJN_9atC,1,2,1,Dark Chocolate Cream,2,Banana Caramel Cream,1,Win
dw4FYqRNZhDAR,1,3,2,Dark Chocolate Cream,2,Dirt,1,Win
TSg5rT5MuDQ_w,1,4,3,Dark Chocolate Cream,0,Whiskey Silk,3,Loss
5f8q_IDc43wXe,2,1,1,Dark Chocolate Cream,1,Blueberry Crisp,3,Loss
,1,1,0,Irish Cream Brownie,0,,,Bye
W3tdF8QPkKayQ,1,2,1,Irish Cream Brownie,3,Chocolate Cloud,0,Win
xQtZyWjNr0Eys,1,3,2,Irish Cream Brownie,3,Carrot Cake,0,Win
4nmBEdmqVXdEt,1,4,3,Irish Cream Brownie,1,Boozy Blackberry Orange Cream ,2,Loss
4ylDv54cInAaD,2,1,1,Irish Cream Brownie,2,Carrot Cake,2,TieLoss
02Kk93jDDxba,1,1,1,Nutter Butter,1,Oreo Cream,2,Loss
,2,1,0,Nutter Butter,0,,,Bye
edbJ95KMKJcud,2,2,1,Nutter Butter,1,Carrot Cake,3,Loss
022FQ1oRR6ZZ,1,1,1,Macaroon,1,Lemon Chess,2,Loss
IuBxIBdZ0GR_R,2,1,1,Macaroon,1,Caramel Apple,3,Loss
Ou2cz2DTjSP6,1,1,1,Maple Bourbon Walnut ,2,Mixed Berry,1,Win
OeWx-TxiOsYQ,1,2,2,Maple Bourbon Walnut ,3,S'mores,0,Win
HM8QjUMJsCB3x,1,3,3,Maple Bourbon Walnut ,2,Orange Cranberry Custard ,1,Win
DkRquU_5BAmds,1,4,4,Maple Bourbon Walnut ,2,Peach (Seasonal - Summer) ,1,Win
Jrp2gHaBy7ASF,1,5,5,Maple Bourbon Walnut ,1,Pumpkin,2,Loss
7_07QpnszY2FA,2,1,1,Maple Bourbon Walnut ,1,Chocolate Pecan,3,Loss
,1,1,0,Southern Oatmeal Rum Raisin ,0,,,Bye
HX6Th_200-so,1,2,1,Southern Oatmeal Rum Raisin ,3,Shoofly,0,Win
DU-0yulLWQJPn,1,3,2,Southern Oatmeal Rum Raisin ,1,Peach (Seasonal - Summer) ,2,Loss
oBDLHYOGS8LB3,2,1,1,Southern Oatmeal Rum Raisin ,1,Cranberry Muffin ,3,Loss
,1,1,0,S'mores,0,,,Bye
OeWx-TxiOsYQ,1,2,1,S'mores,0,Maple Bourbon Walnut ,3,Loss
,2,1,0,S'mores,0,,,Bye
2aJcPkw03xY0P,2,2,1,S'mores,1,Monster Cookie,3,Loss
eqEFZmv1gm0_,1,1,1,Atlantic Beach,1,Astronaut,2,Loss
,2,1,0,Atlantic Beach,0,,,Bye
nLb-wip2etHo3,2,2,1,Atlantic Beach,2,Peach (Seasonal - Summer) ,2,TieWin
91cezo5XnwISXT,2,3,2,Atlantic Beach,4,Carrot Cake,0,Win
qX3EUmAz0GNr_Y,2,4,3,Atlantic Beach,2,Blueberry Crisp,2,TieWin
WJUYuaCMdDc0Qx,2,5,4,Atlantic Beach,2,Chocolate Bourbon Pecan,2,TieWin
lFtb89M47hL_,1,1,1,Blackberry,1,Blueberry Crisp,2,Loss
,2,1,0,Blackberry,0,,,Bye
tESHH2y0pEh0W,2,2,1,Blackberry,2,Chocolate Pecan,2,TieWin
58Y6ZfAtwvTsog,2,3,2,Blackberry,1,Cabernet Berry,3,Loss
sv8jkhCephck,1,1,1,Ping Colada,1,Peanut Chip,2,Loss
Gn40Vjl9RSXM,1,1,1,Apple (Double Crust or Crumb),1,Amish Apple,2,Loss
,2,1,0,Apple (Double Crust or Crumb),0,,,Bye
0gYNRu9z-4No1,2,2,1,Apple (Double Crust or Crumb),2,Chocolate Bourbon Pecan,2,TieLoss
,2,1,0,Cranberry Apple ,0,,,Bye
VcCJryPblCrPV,2,2,1,Cranberry Apple ,3,Apple Walnut Raisin,1,Win
TleMcf-VoMlkzw,2,3,2,Cranberry Apple ,1,Apple Chai,3,Loss
9BWgN-G6ZPYC,1,1,1,Cranberry Apple ,1,Cranberry Muffin ,2,Loss
,1,1,0,Pumpkin Marshmallow,0,,,Bye
ppvi-GxeniTY,1,2,1,Pumpkin Marshmallow,2,Strawberry/Rhubarb (Seasonal • Spring) ,1,Win
5K76pY7Ig0Fsm,1,3,2,Pumpkin Marshmallow,1,Strawberry Blackberry,2,Loss
,2,1,0,Pumpkin Marshmallow,0,,,Bye
R7Mt-1EBwgHsO,2,2,1,Pumpkin Marshmallow,0,Amish Apple,4,Loss
K_ESTXQL86bW,1,1,1,Apple Walnut Raisin,0,Apple Chai,3,Loss
SHzHpx43jqluy,2,1,1,Apple Walnut Raisin,2,German Chocolate Pie,2,TieWin
VcCJryPblCrPV,2,2,2,Apple Walnut Raisin,1,Cranberry Apple ,3,Loss
02Kk93jDDxba,1,1,1,Oreo Cream,2,Nutter Butter,1,Win
bJ_IlzzRmJjG,1,2,2,Oreo Cream,0,Strawberry Lemonade ,3,Loss
ZjAZVgCiJxpW6,2,1,1,Oreo Cream,1,Mixed Berry,3,Loss
,1,1,0,Samoa,0,,,Bye
JAdY6Dvon2mC,1,2,1,Samoa,1,Orange Cranberry Custard ,2,Loss
fR5AUP23PlSSi,2,1,1,Samoa,2,Cherry Almond,2,TieWin
fy_uWbon6HMfu,2,2,2,Samoa,3,Chocolate Chess,1,Win
qu9VhU3KOxTiqI,2,3,3,Samoa,1,Banana Caramel Cream,3,Loss
,1,1,0,Pumpkin,0,,,Bye
5ua3R7PjGgm0,1,2,1,Pumpkin,2,Cranberry Muffin ,1,Win
f9wVf8K4jrutD,1,3,2,Pumpkin,2,Pumpkin Cream Cheese ,1,Win
CBBcSIutmlKqS,1,4,3,Pumpkin,2,Razzelberry,1,Win
Jrp2gHaBy7ASF,1,5,4,Pumpkin,2,Maple Bourbon Walnut ,1,Win
PIfHLelaNKu9f,2,1,1,Pumpkin,4,French Coconut,0,Win
Rc0H6uqjiC_Le,2,2,2,Pumpkin,4,Coconut Chocolate Chip Cookie,0,Win
aJwRgQ4sinZdhl,2,3,3,Pumpkin,0,Chocolate Bourbon Pecan,4,Loss
,1,1,0,German Chocolate Pie,0,,,Bye
Pu_vuWRCaNdt,1,2,1,German Chocolate Pie,2,Buckeye,1,Win
T_Pdq1qwaGKei,1,3,2,German Chocolate Pie,0,Boozy Blackberry Orange Cream ,3,Loss
SHzHpx43jqluy,2,1,1,German Chocolate Pie,2,Apple Walnut Raisin,2,TieLoss
eqEFZmv1gm0_,1,1,1,Astronaut,2,Atlantic Beach,1,Win
elAc_IN2eAZf,1,2,2,Astronaut,2,Coconut/Banana Cream,1,Win
YK6MfVOPgQYYX,1,3,3,Astronaut,1,Whiskey Silk,2,Loss
,2,1,0,Astronaut,0,,,Bye
A2xd-eq-mQRPX,2,2,1,Astronaut,2,Lemon Chess,2,TieLoss
4ylDv54cInAaD,2,1,1,Carrot Cake,2,Irish Cream Brownie,2,TieWin
